lncRNA_ID,chromosome,start,end,strand,length,GC content (%),subtype,evidence ranking,overlapping feature,antisense feature,contains a structural RNA,contains intron,contains multiple introns,putatively essential (no piggybac insertions),overlap PlasmoDB listed lncRNAs,PlasmoDB listed name,intersect Broadbent et al. annotation,intersect Chappell et al. predicted ncRNAs,intersect Siegel et al. natural antisense transcripts,intersect Yang et al. predicted transcripts,intersect Liao et al. annotation,novel
Pf3D7lncRNA_1076,Pf3D7_09_v3,949587,950020,-,434,12.9,As-UTR,7,,UTR (PF3D7_0923400),NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_1077,Pf3D7_09_v3,953496,954242,-,747,16.87,As-G,7,,PF3D7_0923400,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1078,Pf3D7_09_v3,964061,964339,+,279,8.96,As-UTR,7,,"UTR (PF3D7_0923800), LncRNA",NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1079,Pf3D7_09_v3,969609,971203,+,1595,13.29,As-lncRNA,1,,LncRNA,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_1080,Pf3D7_09_v3,970016,971838,-,1823,13.77,As-UTR,1,,"LncRNA, UTR (PF3D7_0924000)",NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_1081,Pf3D7_09_v3,976103,976663,-,561,20.5,As-G,2,,PF3D7_0924000,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1082,Pf3D7_09_v3,978077,978403,+,327,16.21,As-G,7,,PF3D7_0924100,NO,NO,NO,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_1083,Pf3D7_09_v3,979200,979525,+,326,20.55,As-G,9,,PF3D7_0924100,NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_1084,Pf3D7_09_v3,986594,987245,+,652,15.03,As-lncRNA,9,,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1085,Pf3D7_09_v3,986869,987506,-,638,12.85,As-lncRNA,7,,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1086,Pf3D7_09_v3,1015651,1016017,+,367,12.53,Intergenic,7,,,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1087,Pf3D7_09_v3,1039082,1039443,-,362,10.77,As-UTR,7,,UTR (PF3D7_0925800),NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1088,Pf3D7_09_v3,1060206,1061486,+,1281,12.8,As-lncRNA,7,,LncRNA,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_1089,Pf3D7_09_v3,1061481,1062087,-,607,14.99,As-UTR,1,,"LncRNA, UTR (PF3D7_0926200)",NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1090,Pf3D7_09_v3,1067587,1068256,-,670,18.36,As-G,8,,PF3D7_0926300,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1091,Pf3D7_09_v3,1073183,1073614,+,432,12.5,As-UTR,8,,UTR (PF3D7_0926400),NO,NO,NO,YES,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_1092,Pf3D7_09_v3,1074040,1075052,+,1013,15.79,As-UTR,7,,UTR (PF3D7_0926500),NO,YES,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_1093,Pf3D7_09_v3,1112182,1113473,-,1292,18.27,As-G,1,,PF3D7_0927200,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1094,Pf3D7_09_v3,1129214,1130163,-,950,26.42,As-G,7,,PF3D7_0927800,NO,YES,NO,NO,NO,,NO,YES,YES,NO,NO,NO
Pf3D7lncRNA_1095,Pf3D7_09_v3,1142921,1144604,-,1684,17.34,UTR-asc,1,"PF3D7_0928200, PF3D7_0928400",PF3D7_0928300,NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_1096,Pf3D7_09_v3,1147651,1148109,+,459,10.68,As-UTR,7,,UTR (PF3D7_0928600),NO,NO,NO,NO,NO,,NO,NO,YES,YES,NO,NO
Pf3D7lncRNA_1097,Pf3D7_09_v3,1149301,1151728,+,2428,14.29,As-G,3,,PF3D7_0928700,NO,NO,NO,NO,NO,,YES,NO,YES,YES,NO,NO
Pf3D7lncRNA_1098,Pf3D7_09_v3,1158670,1159175,-,506,12.85,As-G,7,,PF3D7_0928800,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1099,Pf3D7_09_v3,1159964,1160449,-,486,22.02,As-G,8,,PF3D7_0928900,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1100,Pf3D7_09_v3,1161494,1162247,-,754,22.02,As-G,9,,PF3D7_0929000,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1101,Pf3D7_09_v3,1162935,1163420,-,486,16.26,As-UTR,8,,"UTR (PF3D7_0929000, PF3D7_0929100)",NO,YES,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1102,Pf3D7_09_v3,1165198,1166545,-,1348,12.24,As-G,1,,PF3D7_0929100,NO,NO,NO,NO,NO,,YES,YES,NO,NO,NO,NO
Pf3D7lncRNA_1103,Pf3D7_09_v3,1184295,1187022,+,2728,17.56,As-G,1,,PF3D7_0929700,NO,YES,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1104,Pf3D7_09_v3,1196090,1196728,+,639,19.56,As-G,8,,PF3D7_0930200,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1105,Pf3D7_09_v3,1206692,1207328,-,637,18.84,As-G,1,,PF3D7_0930300,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1106,Pf3D7_09_v3,1209784,1210325,-,542,21.77,As-G,2,,PF3D7_0930400,NO,NO,NO,YES,NO,,YES,NO,YES,NO,NO,NO
Pf3D7lncRNA_1107,Pf3D7_09_v3,1217843,1219637,+,1795,15.21,As-G,7,,PF3D7_0930600,NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_1108,Pf3D7_09_v3,1261638,1262302,-,665,15.94,As-G,8,,PF3D7_0931300,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1109,Pf3D7_09_v3,1266879,1267191,+,313,14.06,As-UTR,7,,UTR (PF3D7_0913500),NO,NO,NO,NO,NO,,NO,YES,NO,NO,NO,NO
Pf3D7lncRNA_1110,Pf3D7_09_v3,1267574,1267780,+,207,13.53,As-UTR,7,,UTR (PF3D7_0913500),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1111,Pf3D7_09_v3,1274894,1276074,+,1181,19.05,As-G,1,,PF3D7_0931900,NO,NO,NO,NO,NO,,YES,NO,YES,NO,NO,NO
Pf3D7lncRNA_1112,Pf3D7_09_v3,1283083,1284446,+,1364,18.84,As-G,8,,PF3D7_0932100,NO,YES,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_1113,Pf3D7_09_v3,1284316,1286392,-,2077,14.01,UTR-asc,1,PF3D7_0932100,"LncRNA, UTR (PF3D7_0932200)",NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_1114,Pf3D7_09_v3,1290853,1291987,+,1135,17.44,As-G,2,,"PF3D7_0932300, UTR (PF3D7_0932400)",NO,NO,NO,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_1115,Pf3D7_09_v3,1294691,1295421,+,731,21.61,As-G,1,,PF3D7_0932500,NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_1116,Pf3D7_09_v3,1295830,1297582,+,1753,18.08,As-G,8,,"PF3D7_0932500, PF3D7_0932600",NO,YES,YES,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1117,Pf3D7_09_v3,1298745,1298949,+,205,14.63,As-G,7,,PF3D7_0932700,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1118,Pf3D7_09_v3,1330213,1330700,+,488,14.34,As-UTR,1,,UTR (PF3D7_0933600),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1119,Pf3D7_09_v3,1333437,1333938,+,502,13.55,As-UTR,7,,UTR (PF3D7_0933700),NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_1120,Pf3D7_09_v3,1353269,1354905,-,1637,15.21,UTR-asc,1,PF3D7_0934500,,NO,NO,NO,NO,NO,,YES,YES,NO,NO,YES,NO
Pf3D7lncRNA_1121,Pf3D7_09_v3,1355153,1356637,-,1485,14.88,UTR-asc,1,PF3D7_0934500,"PF3D7_0934600, UTR (PF3D7_0934700)",NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_1122,Pf3D7_09_v3,1358220,1359636,-,1417,24.14,As-G,1,,PF3D7_0934700,NO,YES,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1123,Pf3D7_09_v3,1359967,1360691,-,725,15.72,As-UTR,5,,UTR (PF3D7_0934700),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1124,Pf3D7_09_v3,1360800,1361363,-,564,15.07,As-UTR,1,,UTR (PF3D7_0934800),NO,NO,NO,NO,NO,,NO,YES,NO,NO,NO,NO
Pf3D7lncRNA_1125,Pf3D7_09_v3,1367766,1369342,+,1577,15.92,As-G,4,,"UTR (PF3D7_0935100), PF3D7_0935200",NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1126,Pf3D7_09_v3,1374689,1375306,+,618,12.3,UTR-asc,7,PF3D7_0935300,UTR (PF3D7_0935400),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1127,Pf3D7_09_v3,1374904,1381482,-,6579,16.57,As-G,1,,PF3D7_0935400,NO,YES,YES,NO,YES,PF3D7_0935390,YES,YES,YES,YES,NO,NO
Pf3D7lncRNA_1128,Pf3D7_09_v3,1376803,1377479,+,677,14.33,As-G,1,,PF3D7_0935390,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1129,Pf3D7_09_v3,1383239,1386868,-,3630,12.64,Intergenic,4,,,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_1130,Pf3D7_09_v3,1389676,1391446,+,1771,12.48,As-lncRNA,5,,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1131,Pf3D7_09_v3,1390820,1391450,-,631,14.26,As-lncRNA,3,,LncRNA,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1132,Pf3D7_09_v3,1392718,1400169,-,7452,13.88,As-lncRNA,1,,LncRNA,NO,YES,YES,NO,NO,,YES,YES,NO,NO,NO,NO
Pf3D7lncRNA_1133,Pf3D7_09_v3,1393436,1395503,+,2068,14.99,As-lncRNA,2,,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1134,Pf3D7_09_v3,1396910,1398570,+,1661,13.25,As-lncRNA,1,,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1135,Pf3D7_09_v3,1402702,1403845,-,1144,13.02,As-UTR,1,,"UTR (PF3D7_0935500, PF3D7_0935600)",NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_1136,Pf3D7_09_v3,1410775,1412086,+,1312,15.47,UTR-asc,7,PF3D7_0935700,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1137,Pf3D7_09_v3,1410830,1411087,-,258,14.73,As-lncRNA,7,,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1138,Pf3D7_09_v3,1415544,1415930,-,387,17.83,As-G,9,,PF3D7_0935800,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1139,Pf3D7_09_v3,1424579,1425876,+,1298,12.63,As-UTR,4,,UTR (PF3D7_0935900),NO,NO,NO,NO,NO,,YES,NO,NO,NO,YES,NO
Pf3D7lncRNA_1140,Pf3D7_09_v3,1429512,1432213,+,2702,15.66,As-G,1,,PF3D7_0936100,NO,YES,YES,NO,NO,,YES,YES,YES,YES,NO,NO
Pf3D7lncRNA_1141,Pf3D7_09_v3,1435661,1436744,+,1084,14.48,As-G,1,,PF3D7_0936300,NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_1142,Pf3D7_09_v3,1439165,1440388,+,1224,13.56,UTR-asc,7,PF3D7_0936400,,NO,NO,NO,NO,NO,,YES,YES,NO,YES,NO,NO
Pf3D7lncRNA_1143,Pf3D7_09_v3,1478861,1479565,-,705,15.18,Intergenic,1,,,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1144,Pf3D7_09_v3,1492258,1494370,-,2113,24.89,As-G,7,,PF3D7_0937700,NO,YES,NO,NO,NO,,NO,YES,NO,NO,NO,NO
Pf3D7lncRNA_1145,Pf3D7_09_v3,1494837,1495485,+,649,9.71,As-G,2,,PF3D7_0937800,NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_1146,Pf3D7_09_v3,1495086,1497487,-,2402,22.94,Sense,1,PF3D7_0937800,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1147,Pf3D7_09_v3,1497168,1498975,+,1808,23.29,As-Intron,1,,PF3D7_0937800,NO,NO,NO,NO,NO,,YES,YES,NO,YES,NO,NO
Pf3D7lncRNA_1148,Pf3D7_10_v3,33877,34384,-,508,14.57,As-Intron,1,,PF3D7_1000100,NO,NO,NO,YES,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_1149,Pf3D7_10_v3,34503,36516,+,2014,23.93,Sense,1,PF3D7_1000100,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1150,Pf3D7_10_v3,36589,36942,-,354,6.5,As-lncRNA,2,,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1151,Pf3D7_10_v3,36850,38126,+,1277,13.63,As-G,1,,"LncRNA, PF3D7_1000200",NO,NO,NO,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_1152,Pf3D7_10_v3,40875,41588,+,714,12.04,As-lncRNA,6,,LncRNA,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1153,Pf3D7_10_v3,40906,41127,-,222,13.06,As-lncRNA,9,,LncRNA,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1154,Pf3D7_10_v3,42786,43006,+,221,14.03,As-Intron,2,,PF3D7_1000300,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1155,Pf3D7_10_v3,60200,60545,-,346,26.88,As-G,2,,PF3D7_1000900,NO,NO,NO,YES,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_1156,Pf3D7_10_v3,78440,78984,+,545,9.54,As-UTR,7,,UTR (PF3D7_1001400),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1157,Pf3D7_10_v3,91445,93424,+,1980,17.07,As-UTR,1,,UTR (PF3D7_1001700),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1158,Pf3D7_10_v3,95375,95588,+,214,8.88,Intergenic,8,,,NO,NO,NO,YES,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_1159,Pf3D7_10_v3,98153,99503,+,1351,14.95,As-G,1,,PF3D7_1001900,NO,NO,NO,NO,NO,,YES,YES,NO,NO,NO,NO
Pf3D7lncRNA_1160,Pf3D7_10_v3,103102,103327,+,226,22.57,As-G,8,,PF3D7_1002000,NO,NO,NO,YES,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_1161,Pf3D7_10_v3,110504,111820,-,1317,15.41,As-G,1,,PF3D7_1002200,NO,NO,NO,NO,NO,,YES,YES,NO,NO,NO,NO
Pf3D7lncRNA_1162,Pf3D7_10_v3,127510,128570,-,1061,13.2,As-G,1,,PF3D7_1002600,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1163,Pf3D7_10_v3,136679,138006,-,1328,16.42,As-G,3,,PF3D7_1002800,NO,NO,NO,NO,NO,,YES,NO,YES,NO,NO,NO
Pf3D7lncRNA_1164,Pf3D7_10_v3,140208,140699,-,492,14.43,As-UTR,7,,UTR (PF3D7_1002900),NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_1165,Pf3D7_10_v3,144941,147042,-,2102,16.6,As-G,1,,PF3D7_1003000,NO,NO,NO,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_1166,Pf3D7_10_v3,151430,152264,+,835,12.57,As-UTR,1,,UTR (PF3D7_1003400),NO,NO,NO,YES,NO,,YES,NO,NO,YES,NO,NO
Pf3D7lncRNA_1167,Pf3D7_10_v3,154295,154974,+,680,20,As-G,9,,PF3D7_1003400,NO,NO,NO,YES,NO,,NO,NO,YES,YES,NO,NO
Pf3D7lncRNA_1168,Pf3D7_10_v3,159515,160690,+,1176,17.35,As-UTR,1,,UTR (PF3D7_1003500),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1169,Pf3D7_10_v3,162368,163196,+,829,14.96,As-UTR,4,,UTR (PF3D7_1003500),NO,NO,NO,NO,NO,,YES,NO,NO,YES,NO,NO
Pf3D7lncRNA_1170,Pf3D7_10_v3,177168,177627,+,460,12.17,As-UTR,4,,UTR (PF3D7_1003800),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1171,Pf3D7_10_v3,181530,181997,+,468,14.32,Intergenic,4,,,NO,NO,NO,YES,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_1172,Pf3D7_10_v3,197594,198752,+,1159,12.68,As-UTR,1,,UTR (PF3D7_1004300),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1173,Pf3D7_10_v3,204496,206248,+,1753,10.21,As-UTR,1,,UTR (PF3D7_1004300),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1174,Pf3D7_10_v3,210826,211268,+,443,12.42,As-UTR,7,,UTR (PF3D7_1004400),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1175,Pf3D7_10_v3,218424,219515,-,1092,20.88,As-G,9,,PF3D7_1004600,NO,NO,NO,YES,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_1176,Pf3D7_10_v3,247069,248125,+,1057,14.38,As-G,1,,PF3D7_1005700,NO,NO,NO,NO,NO,,YES,NO,YES,NO,NO,NO
Pf3D7lncRNA_1177,Pf3D7_10_v3,250589,253100,-,2512,16.48,As-G,1,,PF3D7_1005800,NO,NO,NO,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_1178,Pf3D7_10_v3,264546,265523,+,978,14.01,Intergenic,7,,,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_1179,Pf3D7_10_v3,265757,266938,-,1182,16.84,As-G,6,,PF3D7_1006300,NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_1180,Pf3D7_10_v3,275155,276163,-,1009,14.57,As-G,1,,PF3D7_1006700,NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_1181,Pf3D7_10_v3,279954,281239,-,1286,13.14,As-UTR,8,,UTR (PF3D7_1006800),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1182,Pf3D7_10_v3,283127,283999,-,873,11.34,As-UTR,1,,UTR (PF3D7_1006900),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1183,Pf3D7_10_v3,291315,291929,+,615,13.01,As-UTR,4,,UTR (PF3D7_1007200),NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_1184,Pf3D7_10_v3,295897,296351,-,455,14.51,As-G,7,,PF3D7_1007300,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1185,Pf3D7_10_v3,308032,308559,+,528,16.29,Intergenic,4,,,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1186,Pf3D7_10_v3,309444,311442,+,1999,15.91,As-lncRNA,4,,LncRNA,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1187,Pf3D7_10_v3,309778,310165,-,388,18.3,As-lncRNA,7,,LncRNA,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1188,Pf3D7_10_v3,318324,318770,-,447,14.99,As-UTR,1,,UTR (PF3D7_1007900),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1189,Pf3D7_10_v3,327840,329283,-,1444,15.93,As-G,1,,PF3D7_1008000,NO,NO,NO,NO,NO,,NO,YES,NO,NO,NO,NO
Pf3D7lncRNA_1190,Pf3D7_10_v3,362623,362933,+,311,6.75,As-UTR,8,,UTR (PF3D7_1008700),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1191,Pf3D7_10_v3,363566,363948,+,383,13.32,As-UTR,7,,UTR (PF3D7_1008700),NO,NO,NO,NO,NO,,NO,YES,NO,NO,NO,NO
Pf3D7lncRNA_1192,Pf3D7_10_v3,368228,369031,+,804,15.3,As-UTR,7,,"UTR (PF3D7_1008800, PF3D7_1008900)",NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1193,Pf3D7_10_v3,373744,374528,-,785,12.87,As-UTR,7,,UTR (PF3D7_1009200),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1194,Pf3D7_10_v3,385411,386485,-,1075,13.02,UTR-asc,1,PF3D7_1009500,,NO,NO,NO,NO,NO,,NO,YES,NO,NO,NO,NO
Pf3D7lncRNA_1195,Pf3D7_10_v3,391647,392471,+,825,16.73,As-UTR,7,,UTR (PF3D7_1009700),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1196,Pf3D7_10_v3,394039,395909,+,1871,20.52,As-G,2,,PF3D7_1009800,NO,NO,NO,NO,NO,,NO,NO,YES,YES,NO,NO
Pf3D7lncRNA_1197,Pf3D7_10_v3,411045,413162,-,2118,12.23,As-UTR,1,PF3D7_1010200,UTR (PF3D7_1010300),NO,NO,NO,NO,NO,,NO,NO,NO,YES,YES,NO
Pf3D7lncRNA_1198,Pf3D7_10_v3,419596,420034,+,439,9.34,As-UTR,4,,UTR (PF3D7_1010600),NO,NO,NO,NO,NO,,NO,YES,NO,NO,NO,NO
Pf3D7lncRNA_1199,Pf3D7_10_v3,428689,431043,+,2355,17.03,As-G,7,,PF3D7_1011000,NO,NO,NO,NO,NO,,NO,YES,YES,YES,NO,NO
Pf3D7lncRNA_1200,Pf3D7_10_v3,431115,432253,+,1139,15.72,As-UTR,1,,UTR (PF3D7_1011100),NO,YES,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_1201,Pf3D7_10_v3,442400,443624,+,1225,13.31,As-UTR,1,,UTR (PF3D7_1011500),NO,NO,NO,NO,NO,,NO,YES,YES,YES,NO,NO
Pf3D7lncRNA_1202,Pf3D7_10_v3,450530,452780,-,2251,14.93,As-UTR,1,,"UTR (PF3D7_1011700, PF3D7_1011800)",NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_1203,Pf3D7_10_v3,458513,459504,-,992,16.23,As-G,9,,PF3D7_1011800,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1204,Pf3D7_10_v3,474062,474730,+,669,13,As-UTR,1,,"UTR (PF3D7_1012300, PF3D7_1012400)",NO,YES,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1205,Pf3D7_10_v3,477514,478142,+,629,14.15,As-UTR,7,,UTR (PF3D7_1012500),NO,NO,NO,NO,NO,,YES,NO,YES,NO,NO,NO
Pf3D7lncRNA_1206,Pf3D7_10_v3,481489,482074,+,586,15.36,As-UTR,7,,UTR (PF3D7_1012600),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1207,Pf3D7_10_v3,482485,484608,+,2124,22.69,As-G,9,,PF3D7_1012600,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1208,Pf3D7_10_v3,484955,486860,+,1906,13.22,UTR-asc,1,PF3D7_1012700,UTR (PF3D7_1012600),NO,NO,NO,NO,NO,,YES,NO,NO,YES,NO,NO
Pf3D7lncRNA_1209,Pf3D7_10_v3,507032,509888,-,2857,13.9,UTR-asc,1,PF3D7_1013100,UTR (PF3D7_1013200),NO,NO,NO,NO,NO,,YES,YES,NO,NO,YES,NO
Pf3D7lncRNA_1210,Pf3D7_10_v3,523151,524248,-,1098,14.03,Intergenic,1,,,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1211,Pf3D7_10_v3,524367,525363,-,997,12.34,Intergenic,7,,,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1212,Pf3D7_10_v3,530661,532384,-,1724,16.01,As-G,4,,PF3D7_1013500,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1213,Pf3D7_10_v3,539799,540890,-,1092,14.65,As-G,1,,"PF3D7_1013600, PF3D7_1013700",NO,NO,NO,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_1214,Pf3D7_10_v3,549968,551376,+,1409,13.98,As-G,4,,PF3D7_1014000,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_1215,Pf3D7_10_v3,563710,564386,-,677,13.74,As-UTR,7,,UTR (PF3D7_1014300),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_1216,Pf3D7_10_v3,590307,592850,+,2544,12.66,As-UTR,1,,UTR (PF3D7_1014600),NO,NO,NO,NO,NO,,YES,YES,NO,NO,NO,NO
Pf3D7lncRNA_1217,Pf3D7_10_v3,591826,592318,-,493,15.82,As-lncRNA,8,,LncRNA,NO,NO,NO,YES,NO,,YES,NO,NO,NO,NO,NO
